"long","lat","order","hole","piece","group","fips","abbr","full"
1091778.85322839,-1380694.98298214,1,FALSE,1,"01.1","01","AL","Alabama"
1091267.95498953,-1376372.37580687,2,FALSE,1,"01.1","01","AL","Alabama"
1091139.9450531,-1362997.83724386,3,FALSE,1,"01.1","01","AL","Alabama"
1090940.30927696,-1343517.19313328,4,FALSE,1,"01.1","01","AL","Alabama"
1090913.43277266,-1341005.68574582,5,FALSE,1,"01.1","01","AL","Alabama"
1090796.33284846,-1334479.78463195,6,FALSE,1,"01.1","01","AL","Alabama"
1090235.40458061,-1304437.55718312,7,FALSE,1,"01.1","01","AL","Alabama"
1089943.67323544,-1289528.06994601,8,FALSE,1,"01.1","01","AL","Alabama"
1089450.74645379,-1265303.76793393,9,FALSE,1,"01.1","01","AL","Alabama"
1089305.1899966,-1258363.01074818,10,FALSE,1,"01.1","01","AL","Alabama"
1088841.803224,-1236850.8770972,11,FALSE,1,"01.1","01","AL","Alabama"
1088610.75434122,-1225223.58837369,12,FALSE,1,"01.1","01","AL","Alabama"
1088044.15515847,-1197805.2908809,13,FALSE,1,"01.1","01","AL","Alabama"
1087646.93986452,-1179413.78901941,14,FALSE,1,"01.1","01","AL","Alabama"
1087573.53913018,-1174259.26781631,15,FALSE,1,"01.1","01","AL","Alabama"
1087044.77922016,-1139232.8967664,16,FALSE,1,"01.1","01","AL","Alabama"
1086989.43449009,-1136082.47948682,17,FALSE,1,"01.1","01","AL","Alabama"
1086512.77249462,-1109876.86706425,18,FALSE,1,"01.1","01","AL","Alabama"
1086209.96779346,-1094008.10084283,19,FALSE,1,"01.1","01","AL","Alabama"
1085948.69483296,-1080746.0170415,20,FALSE,1,"01.1","01","AL","Alabama"
1085856.76062663,-1076167.66141325,21,FALSE,1,"01.1","01","AL","Alabama"
1085367.35049269,-1046019.91369553,22,FALSE,1,"01.1","01","AL","Alabama"
1079812.27054719,-1043421.8531656,23,FALSE,1,"01.1","01","AL","Alabama"
1074677.87928323,-1035934.7553263,24,FALSE,1,"01.1","01","AL","Alabama"
1074242.85711509,-1034606.50158617,25,FALSE,1,"01.1","01","AL","Alabama"
1092599.69512623,-1032234.04640899,26,FALSE,1,"01.1","01","AL","Alabama"
1093965.01367824,-1032041.59151305,27,FALSE,1,"01.1","01","AL","Alabama"
1105978.86541309,-1030337.26379152,28,FALSE,1,"01.1","01","AL","Alabama"
1126480.78532433,-1027550.97562418,29,FALSE,1,"01.1","01","AL","Alabama"
1128191.6322052,-1027321.72710158,30,FALSE,1,"01.1","01","AL","Alabama"
1162712.05600562,-1022611.78930426,31,FALSE,1,"01.1","01","AL","Alabama"
1163377.79897527,-1022519.37541484,32,FALSE,1,"01.1","01","AL","Alabama"
1163913.39730031,-1022448.60722086,33,FALSE,1,"01.1","01","AL","Alabama"
1197755.99056514,-1017898.62191284,34,FALSE,1,"01.1","01","AL","Alabama"
1202511.26750709,-1017246.916643,35,FALSE,1,"01.1","01","AL","Alabama"
1202513.06863982,-1017246.64059386,36,FALSE,1,"01.1","01","AL","Alabama"
1230970.11189579,-1012830.00681609,37,FALSE,1,"01.1","01","AL","Alabama"
1244375.99437861,-1010602.12941192,38,FALSE,1,"01.1","01","AL","Alabama"
1245049.29890086,-1010489.58449585,39,FALSE,1,"01.1","01","AL","Alabama"
1285343.54525579,-1004230.18269664,40,FALSE,1,"01.1","01","AL","Alabama"
1308635.68507185,-1000510.71839079,41,FALSE,1,"01.1","01","AL","Alabama"
1310566.84938028,-1007000.77985047,42,FALSE,1,"01.1","01","AL","Alabama"
1312765.16167298,-1013808.37286127,43,FALSE,1,"01.1","01","AL","Alabama"
1316573.18361127,-1025594.21021342,44,FALSE,1,"01.1","01","AL","Alabama"
1321163.02466381,-1039039.72889235,45,FALSE,1,"01.1","01","AL","Alabama"
